10	3	1
20	1	3
30	1	2
40	2	1
50	2	2
60	2	2
70	3	3
80	4	3
90	4	3
100	6	4
110	6	5
120	7	4
130	9	5
140	11	5
150	11	6
160	13	9
170	12	7
180	13	7
190	14	8
200	16	7
210	16	9
220	18	8
230	20	9
240	21	10
250	25	11
260	25	12
270	27	12
280	31	12
290	31	13
300	35	13
310	35	15
320	38	15
330	39	17
340	43	18
350	45	19
360	49	19
370	50	20
380	48	22
390	54	21
400	53	23
410	59	22
420	62	22
430	65	23
440	66	26
450	70	25
460	72	26
470	77	28
480	79	28
490	84	31
500	95	33
510	98	32
520	104	32
530	102	33
540	107	35
550	112	35
560	115	36
570	110	38
580	115	35
590	120	36
600	123	39
610	132	41
620	127	11
630	35	10
640	36	11
650	40	15
660	38	13
670	43	14
680	40	13
690	49	14
700	42	14
710	50	18
720	43	15
730	45	15
740	58	16
750	49	14
760	46	16
770	60	15
780	49	15
790	49	16
800	67	16
810	51	16
820	52	16
830	58	17
840	56	17
850	57	17
860	61	17
870	61	18
880	60	20
890	62	19
900	63	21
