10	4	1
20	1	3
30	2	1
40	2	2
50	2	3
60	2	2
70	4	3
80	3	4
90	4	3
100	4	4
110	6	4
120	7	4
130	8	5
140	10	6
150	10	6
160	10	9
170	10	6
180	11	7
190	12	8
200	13	8
210	15	9
220	17	9
230	19	9
240	22	10
250	23	11
260	23	11
270	25	13
280	31	15
290	28	14
300	32	12
310	33	14
320	36	15
330	38	16
340	39	17
350	41	21
360	44	21
370	48	21
380	50	23
390	50	23
400	53	23
410	56	23
420	59	25
430	62	26
440	66	25
450	69	26
460	73	26
470	76	27
480	78	27
490	82	30
500	84	33
510	87	37
520	95	34
530	94	34
540	97	35
550	101	37
560	106	36
570	109	40
580	112	40
590	118	37
600	122	39
610	124	41
620	127	43
630	132	48
640	135	48
650	139	46
660	145	48
670	148	51
680	152	52
690	158	55
700	167	56
710	166	58
720	174	60
730	176	62
740	183	64
750	187	68
760	193	69
770	198	67
780	209	67
790	209	66
800	212	66
810	218	70
820	224	67
830	231	70
840	232	71
850	242	71
860	246	76
870	250	78
880	260	81
890	264	81
900	267	81
