10	3	0
20	1	4
30	2	8
40	1	1
50	2	2
60	4	2
70	3	4
80	4	4
90	5	6
100	5	4
110	6	4
120	7	4
130	9	5
140	11	6
150	12	7
160	14	9
170	12	6
180	13	8
190	15	9
200	15	9
210	18	11
220	19	10
230	20	10
240	21	13
250	24	13
260	26	12
270	27	16
280	30	14
290	31	15
300	36	15
310	36	16
320	40	17
330	40	19
340	49	23
350	55	26
360	49	23
370	50	23
380	53	27
390	55	23
400	59	25
410	61	25
420	63	24
430	65	26
440	66	27
450	68	30
460	73	29
470	79	31
480	87	33
490	87	37
500	92	39
510	99	40
520	101	38
530	106	37
540	108	38
550	116	38
560	108	40
570	114	41
580	116	42
590	122	40
600	122	41
610	107	13
620	35	12
630	37	12
640	37	13
650	38	14
660	39	14
670	52	14
680	40	16
690	42	15
700	56	15
710	46	16
720	45	17
730	64	17
740	48	20
750	49	19
760	64	28
770	55	20
780	56	20
790	55	19
800	58	20
810	60	18
820	58	19
830	60	20
840	64	21
850	66	21
860	63	23
870	68	24
880	68	24
890	64	25
900	68	26
